provision_id,van_ban,doc_code,chuong,dieu,tieu_de_dieu,khoan,diem,noi_dung,hieu_luc,ngay_hieu_luc,ngay_het_hieu_luc,thay_the_boi,thay_the_cho,van_ban_sua_doi,ghi_chu
10_2012_QH13__D9__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,9,"Việc làm, giải quyết việc làm",2,,"Điều 9. Việc làm, giải quyết việc làm
2. Nhà nước, người sử dụng lao động và xã hội có trách nhiệm tham gia giải
quyết việc làm, bảo đảm cho mọi người có khả năng lao động đều có cơ hội có
việc làm.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D10__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,10,Quyền làm việc của người lao động,1,,"Điều 10. Quyền làm việc của người lao động
1. Được làm việc cho bất kỳ người sử dụng lao động nào và ở bất kỳ nơi nào
mà pháp luật không cấm.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D10__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,10,Quyền làm việc của người lao động,2,,"Điều 10. Quyền làm việc của người lao động
2. Trực tiếp liên hệ với người sử dụng lao động hoặc thông qua tổ chức dịch
vụ việc làm để tìm việc làm theo nguyện vọng, khả năng, trình độ nghề nghiệp và
sức khoẻ của mình.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D11,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,11,Quyền tuyển dụng lao động của người sử dụng lao động,,,"Điều 11. Quyền tuyển dụng lao động của người sử dụng lao động
Người sử dụng lao động có quyền trực tiếp hoặc thông qua tổ chức dịch vụ
việc làm, doanh nghiệp cho thuê lại lao động để tuyển dụng lao động, có quyền
tăng, giảm lao động phù hợp với nhu cầu sản xuất, kinh doanh.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D12__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,12,Chính sách của Nhà nước hỗ trợ phát triển việc làm,1,,"Điều 12. Chính sách của Nhà nước hỗ trợ phát triển việc làm
1. Nhà nước xác định chỉ tiêu tạo việc làm tăng thêm trong kế hoạch phát
triển kinh tế - xã hội 05 năm, hằng năm.
Căn cứ điều kiện kinh tế - xã hội trong từng thời kỳ, Chính phủ trình Quốc hội
quyết định chương trình mục tiêu quốc gia về việc làm và dạy nghề.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D12__K2,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,12,Chính sách của Nhà nước hỗ trợ phát triển việc làm,2,,"Điều 12. Chính sách của Nhà nước hỗ trợ phát triển việc làm
2. Có chính sách bảo hiểm thất nghiệp, các chính sách khuyến khích để người
lao động tự tạo việc làm; hỗ trợ người sử dụng lao động sử dụng nhiều lao động
nữ, lao động là người khuyết tật, lao động là người dân tộc ít người để giải quyết
việc làm.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D12__K3,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,12,Chính sách của Nhà nước hỗ trợ phát triển việc làm,3,,"Điều 12. Chính sách của Nhà nước hỗ trợ phát triển việc làm
3. Khuyến khích, tạo điều kiện thuận lợi cho các tổ chức, cá nhân trong nước và
nước ngoài đầu tư phát triển sản xuất, kinh doanh để tạo việc làm cho người lao động.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D12__K4,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,12,Chính sách của Nhà nước hỗ trợ phát triển việc làm,4,,"Điều 12. Chính sách của Nhà nước hỗ trợ phát triển việc làm
4. Hỗ trợ người sử dụng lao động, người lao động tìm kiếm và mở rộng thị
trường lao động ở nước ngoài.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D12__K5,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,12,Chính sách của Nhà nước hỗ trợ phát triển việc làm,5,,"Điều 12. Chính sách của Nhà nước hỗ trợ phát triển việc làm
5. Thành lập Quỹ quốc gia về việc làm để hỗ trợ cho vay ưu đãi tạo việc làm
và thực hiện các hoạt động khác theo quy định của pháp luật.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
10_2012_QH13__D13__K1,Bộ luật Lao động 2012 (10/2012/QH13),10_2012_QH13,Chương II,13,Chương trình việc làm,1,,"Điều 13. Chương trình việc làm
1. Uỷ ban nhân dân tỉnh, thành phố trực thuộc trung ương (sau đây gọi chung
là Uỷ ban nhân dân cấp tỉnh) xây dựng chương trình việc làm của địa phương trình
Hội đồng nhân dân cùng cấp quyết định.",het_hieu_luc,2013-05-01,,,,,"Hết hiệu lực, thay thế bởi 45/2019/QH14"
